FEATURE	SYNTAX	STATUS	WINDOWS	LINUX	MAC	V1/V2 BEHAVIOR	NOTES
Basic assign	x = 5	Working	Yes				Assigns integer value
Basic expression assign	x := 5	Working	Yes				Assigns integer value
Basic assign unquoted string	x = hello	Working	Yes				"Assigns the string ""hello"""
Basic expression assign unquoted string	x := hello	Working	Yes				"Assigns a variable named hello, will crash if not declared"
Basic assign quoted string	"x = ""hello"""	Working	Yes				"Assigns the string """"hello"""""
Basic expression assign quoted string	"x := ""hello"""	Working	Yes				"Assigns the string ""hello"""
Basic assign nothing	x =	Working	Yes				Assigns null
Basic assign empty string	"x = """""	Working	Yes				Assigns a string consisting of two quotes
Basic expression assign empty string	"x := """""	Working	Yes				Assigns an empty string
Basic expression assign nothing	x := 	Working	Yes				Assigns null
Basic assign var to var	x = %y%	Working	Yes				Assigns reference to first var to second var
Basic expression assign to var	x := y	Working	Yes				Assigns reference to first var to second var
Basic assign string concat	y = %x% world	Working	Yes				Concats a variable with the literal string using string.Concat(string[])
Basic expression string concat	"y := x . "" world"""	Working	Yes				"Concats a variable with a literal string using Operate(Concat, y, "" world"")"
Between numeric	if x between 0 and 2	Working	Yes				Checks if a numeric variable value is between two numbers
Between numeric var	if x between %y% and %z%	Working	Yes				Checks if a numeric variable value is between two numeric variables
Between numeric not	if x not between 0 and 2	Working	Yes				Checks if a numeric variable value is not between two numbers
Between numeric var not	if x not between %y% and %z%	Working	Yes				Checks if a numeric variable value is not between two numeric variables
Between string	if x between aaa and zzz	Working	Yes				Checks if a string variable value is between two strings
Between string var	if x between %a% and %z%	Working	Yes				Checks if a string variable value is between two string variables
Between string not	if x not between aaa and zzz	Working	Yes				Checks if a string variable value is not between two strings
Between string var not	if x not between %a% and %z%	Working	Yes				Checks if a string variable value is not between two string variables
Int	x = 1	Working	Yes				Basic integer value stored in a variable
Compare vars	if (x == y)	Working	Yes				Comparison using expression syntax. Other syntax not supported.
Case sensitive string inequality	if (x !=== y)						Check if two strings are not equal using a case sensitive comparison
Dynamic assign var	x := 11; y11 := 22; z := y%x%	Working	Yes				Access a variable by dynamically composing its name
Compare dynamic vars	x := 11; y11 := 22; z := y%x%; if (z == y%x%)	Working	Yes				Compare a variable by dynamically composing its name
Increment/Decrement	x = 1; x++; ++x; x--; --x; y++	Working	Yes				Postfix assign is implemented in a very inefficient way: x = (y = y + 1) - 1
Power	z := x**y	Working	Yes				"Raise x to the power of y, unary operators must use parens to apply to the whole result. This is different from AHK where parens aren't needed."
Unary minus							
Logical not							
Logical and							
Logical or							
String equality							
Greater/less than							
Greater/less than or equal							
Dereference operator							
Divide							
Floor divide							
Ternary							
Combined operators	+= -= *= /= //= |= &= ^= .= >>= <<=	Working	Yes				Combines two operations into one
Multi statements							
Array							"Severely lacking, no member functions to insert, etc"
Associative array							
							
							
							
Flow							
If()	if (x == 1)	Working	Yes				Tests an expression for equality.
Loop()	Loop %x% Loop 10 Loop 10 {	Working	Yes			V2	Repeats the body of the loop a number of times. Functions like a for loop.
Loop(empty)	Loop Loop {	Working	Yes			V2	Repeats the body of the loop until a break is encountered. Functions like an infinite while loop.
Loop Parse	"Loop Parse ""hello"", , ""o"""	Working	Yes			DIFF	"Parses the string either one character at a time, or broken into pieces based on the delimiter. Note this accepts strings as delimiters, unlike AHK which did not."
Loop Reg	"Loop Reg ""HKLM\SUBKEY"", ""KVR"""	Working	Yes			DIFF	"Reads through registry keys and values, optionally recursive. Additionally supports HKEY_PERFORMANCE_DATA, and an accessor A_LoopRegValue to get the values. Supports data types except the following, which will return UNKNOWN: REG_LINK, REG_RESOURCE_LIST, REG_FULL_RESOURCE_DESCRIPTOR, REG_RESOURCE_REQUIREMENTS_LIST, REG_DWORD_BIG_ENDIAN."
Loop Read	"Loop Read ""filename.txt"""	Working	Yes			V2	"Reads though a file one line at a time. Optionally supports an output file, which can then be used with FileAppend with no filename argument."
Loop File	"Loop File ""C:\myfolder\*.txt"", ""DFR"""	Working	Yes			V2	"Lists files and folders at a location, matching a specified pattern, optionally recursing."
							
Member functions							
array.InsertAt()	"arr.InsertAt(1, 44, 55, 66?)"	Working				V2	Inserts an element or range of elements at a given index. The functionality matches v2 because v1 had a strange part at the end.
array.RemoveAt()	"arr.RemoveAt(3, 5)"	Working				V2	"Removes the element at a given index, plus optionally a length. Returns the removed item if no length was specified. Returns the null if a length was specified."
array.Delete()	arr.Delete(4)	Working				V2	"Sets the element at the specified index to null, returns the element at that index before it was cleared."
array.Has()	arr.Has(123)	Working				V2	Returns whether an array contains a non-empty value at the given index.
array.Clone()	arr.Clone()	Working				V1/V2	Returns a shallow copy of an array.
array.Clear()	arr.Clear()	Working				NEW	Clears all elements in an array. Neither V1 or V2 supported this.
array.Push()	arr.Push(object[])	Working				V2	Appends values to the end of an array.
array.Pop()	arr.Pop()	Working				V2	Removes and returns the last element of an array. An exception is thrown if the array was empty.
array.__Enum()	arr.__Enum()					V2	Enumerates array elements.
array.Capacity()	arr.Capacity()	Working				DIFF	Returns the capacity of the array. This is the closest thing to the Capacity property getter that can be implemented.
array.GetCapacity()	arr.GetCapacity()	Working				V1	Returns the capacity of the array.
array.SetCapacity()	arr.SetCapacity(123)	Working				V1	"Sets the capacity of the array and returns the new capacity. If less than the current capacity, the new capacity is set to the number of elements."
array.Length	arr.Length		UNS	UNS	UNS	V2	"Unsure about this because it's a property, not a function. Could perhaps always use a derived version of ArrayList."
array.Length()	arr.Length()	Working	DIFF	DIFF	DIFF	DIFF	"Returns the length of the array, and is also the closest thing to the Length property getter that can be implemented."
array.Length()	arr.Length(123)	Working	DIFF	DIFF	DIFF	DIFF	Sets the length of the array by adding new empty elements. This is the closest thing to the Length property setter that can be implemented.
array.MinIndex()	arr.MinIndex()	Working				V1	Returns the smallest integer contained in the array. Returns empty string if no integers are present.
